ID,Sex,Marital status,Age,Education,Income,Occupation,Settlement size,Age_Group,Income_Group,Cluster
100000236,0,0,30,0,131433,2,0,Young (18-30),Medium,0
100000237,0,0,23,0,167076,0,2,Young (18-30),Medium,0
100000238,0,1,61,2,130788,0,0,Senior (60+),Medium,2
100000239,1,1,35,1,107408,1,1,Middle (31-45),Low,1
100000240,0,0,39,1,115323,1,1,Middle (31-45),Low,1
100000241,1,1,29,1,99012,1,0,Young (18-30),Low,3
100000242,0,0,51,1,115996,1,1,Mature (46-60),Low,1
100000243,0,0,24,0,123353,1,1,Young (18-30),Low,0
100000244,1,1,27,1,100008,1,0,Young (18-30),Low,3
100000245,1,1,35,1,125105,0,0,Middle (31-45),Low,0
100000246,0,0,25,0,92020,1,2,Young (18-30),Low,3
100000247,0,0,52,1,108365,1,2,Mature (46-60),Low,1
100000248,0,0,35,1,112979,1,0,Middle (31-45),Low,1
100000249,0,0,26,0,117221,1,1,Young (18-30),Low,0
100000250,1,1,22,1,88800,1,2,Young (18-30),Low,3
100000251,1,1,39,2,115099,0,0,Middle (31-45),Low,1
100000252,1,1,46,2,113399,0,0,Mature (46-60),Low,1
100000253,1,1,24,1,115879,1,1,Young (18-30),Low,3
100000254,0,0,35,1,141270,1,2,Middle (31-45),Medium,0
100000255,0,0,24,0,107633,1,1,Young (18-30),Low,3
100000256,0,0,27,0,131751,0,0,Young (18-30),Medium,0
100000257,0,0,35,1,83687,0,0,Middle (31-45),Low,1
100000258,0,1,29,1,106828,1,2,Young (18-30),Low,3
100000259,1,1,23,1,135537,1,1,Young (18-30),Medium,0
100000260,1,1,57,2,107142,0,0,Mature (46-60),Low,1
100000261,0,0,27,0,97446,1,1,Young (18-30),Low,3
100000262,1,1,55,2,126357,1,2,Mature (46-60),Low,2
100000263,0,0,36,1,169617,2,1,Middle (31-45),Medium,0
100000264,1,1,57,2,108945,0,0,Mature (46-60),Low,1
100000265,0,0,32,0,67345,0,0,Middle (31-45),Low,3
100000266,0,0,37,1,106215,1,0,Middle (31-45),Low,1
100000267,0,0,36,1,149237,1,0,Middle (31-45),Medium,0
100000268,1,1,38,1,112124,1,0,Middle (31-45),Low,1
100000269,0,1,45,2,215150,2,2,Middle (31-45),Medium,2
100000270,0,0,25,0,89534,1,1,Young (18-30),Low,3
100000271,0,0,32,0,111082,1,2,Middle (31-45),Low,0
100000272,1,1,37,1,137069,1,1,Middle (31-45),Medium,0
100000273,0,0,36,1,244541,2,2,Middle (31-45),High,2
100000274,0,0,28,0,120712,1,1,Young (18-30),Low,0
100000275,0,1,34,1,175367,0,0,Middle (31-45),Medium,0
100000276,0,0,32,0,111418,1,1,Middle (31-45),Low,0
100000277,1,1,26,1,110913,1,0,Young (18-30),Low,3
100000278,0,1,49,2,84267,0,0,Mature (46-60),Low,1
100000279,1,1,32,1,136886,1,2,Middle (31-45),Medium,0
100000280,0,0,29,0,144884,2,2,Young (18-30),Medium,0
100000281,0,0,23,0,151180,1,1,Young (18-30),Medium,0
100000282,0,0,50,1,114997,1,1,Mature (46-60),Low,1
100000283,0,0,49,1,100961,0,0,Mature (46-60),Low,1
100000284,0,0,63,2,124849,1,2,Senior (60+),Low,2
100000285,0,1,37,1,152308,1,2,Middle (31-45),Medium,0
100000286,1,1,35,1,167945,0,1,Middle (31-45),Medium,0
100000287,0,0,26,0,126706,1,2,Young (18-30),Low,0
100000288,0,0,31,0,210017,2,2,Middle (31-45),Medium,0
100000289,1,1,49,2,125665,1,1,Mature (46-60),Low,2
100000290,0,1,48,2,111184,1,1,Mature (46-60),Low,1
100000291,0,1,26,1,94134,1,0,Young (18-30),Low,3
100000292,0,1,28,1,214620,2,1,Young (18-30),Medium,0
100000293,1,1,44,2,193816,2,1,Middle (31-45),Medium,2
100000294,0,0,56,1,168714,1,1,Mature (46-60),Medium,2
100000295,0,1,46,2,202997,2,1,Mature (46-60),Medium,2
100000296,1,1,26,1,192451,1,2,Young (18-30),Medium,0
100000297,1,1,20,1,127928,1,2,Young (18-30),Medium,0
100000298,0,0,45,1,78253,0,0,Middle (31-45),Low,1
100000299,0,0,43,1,118446,1,1,Middle (31-45),Low,1
100000300,0,0,32,0,161379,1,2,Middle (31-45),Medium,0
100000301,1,1,54,2,56622,0,0,Mature (46-60),Low,1
100000302,1,1,42,2,146117,1,1,Middle (31-45),Medium,2
100000303,0,0,37,1,90418,0,0,Middle (31-45),Low,1
100000304,0,0,49,1,109053,1,0,Mature (46-60),Low,1
100000305,0,0,44,1,219319,1,0,Middle (31-45),High,2
100000306,0,1,33,1,144701,1,1,Middle (31-45),Medium,0
100000307,1,1,24,1,102425,0,0,Young (18-30),Low,3
100000308,0,1,33,1,79867,0,0,Middle (31-45),Low,3
100000309,1,1,24,1,107114,1,2,Young (18-30),Low,3
100000310,0,1,22,1,62263,0,0,Young (18-30),Low,3
100000311,0,0,40,1,92567,0,0,Middle (31-45),Low,1
100000312,0,0,25,0,146349,1,0,Young (18-30),Medium,0
100000313,1,1,26,1,141825,1,1,Young (18-30),Medium,0
100000314,0,1,25,1,68582,0,0,Young (18-30),Low,3
100000315,0,0,29,0,85476,0,0,Young (18-30),Low,3
100000316,0,0,31,0,111091,1,2,Middle (31-45),Low,0
100000317,0,0,38,1,67110,0,0,Middle (31-45),Low,1
100000318,1,1,48,2,126154,0,0,Mature (46-60),Low,2
100000319,0,0,32,0,92257,1,2,Middle (31-45),Low,3
100000320,1,1,27,1,93605,0,0,Young (18-30),Low,3
100000321,0,1,28,1,165190,2,0,Young (18-30),Medium,0
100000322,0,1,32,1,107195,1,0,Middle (31-45),Low,3
100000323,0,0,34,1,145059,2,0,Middle (31-45),Medium,0
100000324,0,0,28,0,148363,1,0,Young (18-30),Medium,0
100000325,1,1,36,1,105681,1,2,Middle (31-45),Low,1
100000326,0,0,39,1,93732,0,0,Middle (31-45),Low,1
100000327,0,0,49,1,154778,1,2,Mature (46-60),Medium,2
100000328,1,1,34,1,149356,1,2,Middle (31-45),Medium,0
100000329,0,0,31,0,145670,1,1,Middle (31-45),Medium,0
100000330,0,0,28,0,101589,1,2,Young (18-30),Low,3
100000331,0,0,75,2,213333,2,1,Senior (60+),Medium,2
100000332,1,1,30,1,122420,1,0,Young (18-30),Low,0
100000333,1,1,24,1,209856,2,1,Young (18-30),Medium,0
100000334,1,1,24,1,181003,0,0,Young (18-30),Medium,0
100000335,0,0,23,0,117804,1,1,Young (18-30),Low,0
100000336,0,1,44,2,160650,2,1,Middle (31-45),Medium,2
100000337,1,1,23,1,84611,0,0,Young (18-30),Low,3
100000338,1,1,24,1,98479,1,2,Young (18-30),Low,3
100000339,0,0,28,0,122359,1,2,Young (18-30),Low,0
100000340,0,1,31,1,81394,0,0,Middle (31-45),Low,3
100000341,1,1,24,1,150372,1,1,Young (18-30),Medium,0
100000342,1,1,26,1,92385,0,0,Young (18-30),Low,3
100000343,0,1,25,1,149851,1,2,Young (18-30),Medium,0
100000344,0,0,33,1,167939,2,1,Middle (31-45),Medium,0
100000345,0,0,37,1,115426,0,0,Middle (31-45),Low,1
100000346,1,1,43,2,85402,0,0,Middle (31-45),Low,1
100000347,0,0,23,0,95815,1,2,Young (18-30),Low,3
100000348,1,1,23,1,97518,0,0,Young (18-30),Low,3
100000349,0,0,34,1,87355,0,0,Middle (31-45),Low,1
100000350,0,0,32,0,145933,1,1,Middle (31-45),Medium,0
100000351,1,1,23,1,97307,1,0,Young (18-30),Low,3
100000352,1,1,29,1,108434,1,2,Young (18-30),Low,3
100000353,0,0,38,1,151312,2,1,Middle (31-45),Medium,0
100000354,0,0,28,0,141847,1,1,Young (18-30),Medium,0
100000355,0,0,46,1,130675,1,2,Mature (46-60),Medium,1
100000356,0,0,23,0,69309,0,0,Young (18-30),Low,3
100000357,0,0,49,1,121466,1,2,Mature (46-60),Low,1
100000358,0,0,26,0,153586,2,2,Young (18-30),Medium,0
100000359,0,1,28,1,92849,1,0,Young (18-30),Low,3
100000360,1,1,23,1,108539,1,2,Young (18-30),Low,3
100000361,0,0,61,2,129556,1,2,Senior (60+),Medium,2
100000362,0,0,37,1,170146,2,0,Middle (31-45),Medium,0
100000363,1,1,36,1,135383,1,1,Middle (31-45),Medium,0
100000364,0,1,21,1,96769,1,2,Young (18-30),Low,3
100000365,0,0,25,0,43684,0,0,Young (18-30),Low,3
100000366,0,0,36,1,103521,1,0,Middle (31-45),Low,1
100000367,0,0,27,0,118499,1,1,Young (18-30),Low,0
100000368,1,1,22,1,119684,1,2,Young (18-30),Low,3
100000369,0,0,42,1,126586,1,1,Middle (31-45),Low,1
100000370,1,1,40,2,136812,1,2,Middle (31-45),Medium,2
100000371,0,0,36,1,118277,1,1,Middle (31-45),Low,1
100000372,0,0,33,1,144597,1,1,Middle (31-45),Medium,0
100000373,1,1,23,1,106043,1,0,Young (18-30),Low,3
100000374,0,0,63,2,272314,2,2,Senior (60+),High,2
100000375,1,1,60,2,309364,2,2,Mature (46-60),High,2
100000376,1,1,37,1,170386,1,1,Middle (31-45),Medium,0
100000377,0,1,34,1,112458,1,0,Middle (31-45),Low,1
100000378,0,0,36,1,96840,1,1,Middle (31-45),Low,1
100000379,0,0,57,2,281923,2,1,Mature (46-60),High,2
100000380,1,1,52,2,95551,0,0,Mature (46-60),Low,1
100000381,0,0,39,1,112347,1,2,Middle (31-45),Low,1
100000382,1,1,38,1,260977,2,2,Middle (31-45),High,2
100000383,1,1,25,1,99354,1,0,Young (18-30),Low,3
100000384,0,0,26,0,111509,1,2,Young (18-30),Low,3
100000385,0,0,26,0,105252,0,0,Young (18-30),Low,3
100000386,1,1,25,1,108522,1,0,Young (18-30),Low,3
100000387,1,1,21,1,94655,1,1,Young (18-30),Low,3
100000388,0,0,40,1,201699,2,1,Middle (31-45),Medium,2
100000389,0,0,27,0,139868,1,2,Young (18-30),Medium,0
100000390,1,1,27,1,102543,1,1,Young (18-30),Low,3
100000391,0,1,30,1,134467,2,2,Young (18-30),Medium,0
100000392,1,1,19,1,111187,0,0,Young (18-30),Low,3
100000393,0,0,39,1,152302,2,1,Middle (31-45),Medium,0
100000394,1,1,31,1,110610,1,2,Middle (31-45),Low,0
100000395,0,0,31,0,137827,2,2,Middle (31-45),Medium,0
100000396,0,0,32,0,220923,1,2,Middle (31-45),High,0
100000397,1,1,55,2,165717,2,2,Mature (46-60),Medium,2
100000398,0,1,46,2,122299,1,0,Mature (46-60),Low,1
100000399,0,1,46,2,120499,1,0,Mature (46-60),Low,1
100000400,1,1,43,2,126449,0,0,Middle (31-45),Low,1
100000401,0,1,39,1,108315,1,2,Middle (31-45),Low,1
100000402,0,1,28,1,112515,1,1,Young (18-30),Low,0
100000403,0,0,27,0,164559,1,1,Young (18-30),Medium,0
100000404,0,0,27,0,59238,0,0,Young (18-30),Low,3
100000405,0,0,43,1,131133,1,0,Middle (31-45),Medium,1
100000406,0,1,22,1,109188,1,0,Young (18-30),Low,3
100000407,0,0,43,1,115393,1,1,Middle (31-45),Low,1
100000408,0,1,27,1,94711,1,2,Young (18-30),Low,3
100000409,0,1,26,1,171860,2,0,Young (18-30),Medium,0
100000410,0,1,28,1,139414,1,2,Young (18-30),Medium,0
100000411,1,1,20,1,110931,1,1,Young (18-30),Low,3
100000412,0,0,35,1,187549,2,2,Middle (31-45),Medium,0
100000413,0,0,42,1,145508,2,0,Middle (31-45),Medium,0
100000414,0,0,40,1,104240,0,0,Middle (31-45),Low,1
100000415,1,1,35,1,108272,1,1,Middle (31-45),Low,1
100000416,0,0,35,1,144004,1,2,Middle (31-45),Medium,0
100000417,0,0,33,1,81083,0,0,Middle (31-45),Low,3
100000418,1,1,23,1,166763,1,1,Young (18-30),Medium,0
100000419,1,1,31,1,175530,2,1,Middle (31-45),Medium,0
100000420,1,1,33,1,112422,1,1,Middle (31-45),Low,0
100000421,1,1,20,1,154134,1,2,Young (18-30),Medium,0
100000422,0,0,30,0,112401,1,1,Young (18-30),Low,0
100000423,0,0,47,1,85690,0,0,Mature (46-60),Low,1
100000424,0,0,34,1,145896,2,2,Middle (31-45),Medium,0
100000425,1,1,25,1,122552,1,2,Young (18-30),Low,0
100000426,0,1,21,1,115494,1,2,Young (18-30),Low,3
100000427,0,0,29,0,109467,1,0,Young (18-30),Low,3
100000428,0,0,46,1,148226,1,2,Mature (46-60),Medium,2
100000429,0,0,20,0,88559,1,1,Young (18-30),Low,3
100000430,1,1,55,2,62393,0,0,Mature (46-60),Low,1
100000431,0,0,74,2,122133,0,0,Senior (60+),Low,2
100000432,0,0,29,0,230883,2,2,Young (18-30),High,0
100000433,0,0,36,1,136689,2,2,Middle (31-45),Medium,0
100000434,0,1,33,1,109145,1,0,Middle (31-45),Low,1
100000435,0,0,25,0,100449,1,2,Young (18-30),Low,3
